Dates,COPPER,ZINC
2020-01-01,6174.0,2272.0
2020-01-04,4800.0,1870.5
2020-01-05,5110.0,1913.5
2020-01-06,5484.0,2022.0
2020-01-07,6061.0,2041.5
2020-01-09,6687.5,2553.0
2020-01-10,6387.0,2326.5
2020-01-12,7694.5,2770.0
2020-01-13,6290.0,2378.0
2020-01-14,6302.0,2373.5
2020-01-15,6287.0,2385.0
2020-01-16,6277.5,2422.0
2020-01-17,6273.0,2429.5
2020-01-20,6259.0,2444.0
2020-01-21,6160.0,2454.5
2020-01-22,6106.0,2396.0
2020-01-23,5987.0,2355.0
2020-01-24,5926.0,2341.0
2020-01-27,5743.0,2240.0
2020-01-28,5703.0,2230.0
2020-01-29,5641.0,2211.0
2020-01-30,5587.5,2188.0
2020-01-31,5567.0,2200.0
2020-02-01,6188.0,2310.0
2020-02-03,5700.0,2023.0
2020-02-04,4897.0,1887.5
2020-02-06,5528.5,2019.5
2020-02-07,6073.0,2044.5
2020-02-09,6697.0,2533.5
2020-02-10,6553.0,2327.0
2020-02-11,6762.0,2540.5
2020-02-12,7673.0,2747.5
2020-02-13,5790.0,2175.0
2020-02-14,5760.0,2149.0
2020-02-17,5812.0,2172.0
2020-02-18,5773.0,2145.0
2020-02-19,5770.0,2128.0
2020-02-20,5728.0,2112.0
2020-02-21,5765.0,2115.0
2020-02-24,5689.0,2046.0
2020-02-25,5685.0,2029.0
2020-02-26,5670.0,2046.0
2020-02-27,5616.0,2012.0
2020-02-28,5635.0,2021.5
2020-03-01,6129.5,2306.0
2020-03-02,5525.0,2146.0
2020-03-03,5666.5,1975.5
2020-03-04,4839.5,1882.0
2020-03-06,5524.5,2021.5
2020-03-07,6017.0,2026.0
2020-03-08,6490.0,2324.0
2020-03-09,6563.5,2514.0
2020-03-11,6816.0,2566.5
2020-03-12,7674.5,2756.0
2020-03-13,5460.0,1985.0
2020-03-16,5290.5,1942.0
2020-03-17,5144.0,1871.0
2020-03-18,4745.0,1846.0
2020-03-19,4825.0,1847.0
2020-03-20,4810.0,1848.0
2020-03-23,4630.0,1818.5
2020-03-24,4814.0,1815.5
2020-03-25,4855.0,1836.0
